"study_ref","age","sex","mean","variance","skew","n","species"
"1","A","U",13.4855384615385,0.34981870005963,-1.07945860351221,130,"Taeniopygia guttata"
"1","J","U",13.5415172413793,0.510154626436782,-1.45576468146686,145,"Taeniopygia guttata"
"2","A","U",11.0971641791045,0.148852908216393,0.159568844580306,603,"Hirundo rustica"
"2","A","U",11.3077703826955,0.230300353854687,0.244378193227432,601,"Hirundo rustica"
"3","A","U",2.25694117647059,0.00362148459383753,0.228013891061702,85,"Parus major"
"3","J","U",2.25570472582973,0.00174879737391984,-1.00851852148048,44,"Parus major"
"5","J","U",33.1465727699531,4.1689207458588,-1.07482721875502,213,"Sturnus vulgaris"
"6","J","U",19.5701789709172,0.543895035162167,-0.84783876263162,447,"Parus major"
"7","J","U",7.69652173913043,2.32072371541502,-0.658578255429305,23,"Nipponia nippon"
"8","A","U",24.5546153846154,1.04031025641026,1.03356657683958,19,"Habia fuscicauda"
"9","A","U",17.1075294117647,0.538275966386555,0.315297986039119,85,"Taeniopygia guttata"
"9","J","U",16.733982300885,0.468072392541087,-0.851646431242736,113,"Taeniopygia guttata"
"10","A","U",19.42927053032,0.298051750655515,-0.213895316332275,4763,"Ficedula hypoleuca"
"11","A","U",233.166266218164,42.0276307156323,-0.20374436967325,2081,"Parus major"
"12","A","U",16.1792405063291,0.192381467056151,-0.610229420435201,88,"Cyanistes caeruleus"
"12","A","U",16.4678260869565,0.216887851662404,-0.0490294054722594,81,"Cyanistes caeruleus"
"13a","A","U",19.3648376632862,0.323799734098792,-0.580005086145581,7560,"Ficedula albicollis"
"13b","A","U",17.1396850044366,0.33557153855,-0.390838915723812,2254,"Taeniopygia guttata"
"14","A","U",26.1767857142857,0.55953373015873,0.205423152848273,28,"Lanius bucephalus"
"15","A","U",20.0364814814815,0.413959971840176,0.275958144642289,742,"Parus major"
"16","J","U",19.7075247524752,0.342710811881188,-0.518079919294318,131,"Ficedula albicollis"
"17","J","U",19.6665853658537,0.235584361549498,-0.324563478675588,242,"Ficedula albicollis"
"18","A","U",19.5227316758153,0.684418504529264,-0.558253938502588,3097,"Passer domesticus"
"19","J","U",18.3919545454545,0.458877404074878,-0.521591069934389,1113,"Cyanistes caeruleus"
"20","J","U",23.6301886792453,3.47927389788071,-1.06959740406235,249,"Acrocephalus sechellensis"
"21","J","U",16.3471720818291,0.471844402882287,-0.473199579962307,1004,"Cyanistes caeruleus"
"22","J","U",18.540932642487,2.24034614090573,-0.923606735066498,443,"Passer domesticus"
"24","J","U",18.6873888888889,1.04939370266915,-1.23118569364885,180,"Parus major"
"26","A","U",16.2119246575342,0.264939610495085,-0.243326845508962,1555,"Cyanistes caeruleus"
"28","J","U",-0.0153565891472868,2.55176873122578,-0.562674941676755,177,"Cinclus cinclus"
"29","A","U",18.9212962962963,0.344673100330377,-0.0968259486621903,73,"Troglodytes aedon"
"29","J","U",18.6063432835821,0.398875575394058,-0.594858951366261,536,"Troglodytes aedon"
"30","A","U",18.9088235294118,0.284574839836925,-0.118323750058449,102,"Troglodytes aedon"
"30","J","U",18.5008759124088,0.581021285959639,-1.78650230884035,137,"Troglodytes aedon"
"31","J","U",18.5064899451554,0.412940458727719,-0.687299469130512,1094,"Troglodytes aedon"
"32","A","U",31.7446808510638,0.561221091581869,-0.248184249135097,47,"Cepphus grylle"
"33","A","U",25.1039925460051,1.02496007132102,0.0534173138309818,477,"Acrocephalus sechellensis"
"34","A","U",19.5048463035019,0.391800648845958,-0.0777918610878071,517,"Parus major"
"34","A","U",19.7402489626556,0.325807437759336,-0.0666744977395047,241,"Parus major"
"35","J","U",20.4385542168675,12.5399591916051,-0.516928186909332,2125,"Falco naumanni"
"36","A","U",12.174001344086,0.17074784738865,-0.0907349230486538,1573,"Tachycineta bicolor"
"37","A","U",14.0948575842206,2.36688061637452,-0.131524411972862,1347,"Tachycineta bicolor"
"37","J","U",14.0316981132075,0.387552029731275,-0.810681525603003,265,"Tachycineta bicolor"
"38","A","U",13.0836330935252,0.709200291940361,0.150295634184412,139,"Tachycineta bicolor"
"38","J","U",13.599821656051,1.58977751917327,0.540095324587806,785,"Tachycineta bicolor"
"39","J","U",17.0604758039972,0.413061132150898,-0.0600429135715337,9887,"Cyanistes caeruleus"
"40a","J","U",19.37199,1.040261,-4.693084,2846,"Ficedula hypoleuca"
"40a","A","U",38.94098,0.966908216947193,-0.481141092877834,1948,"Ficedula hypoleuca"
"40b","J","U",19.22668,1.195727,-3.487661,15602,"Ficedula albicollis"
"40b","A","U",39.04105,0.926011501008492,-0.797528447836782,8725,"Ficedula albicollis"
"41","J","U",17.7918789175377,1.7049336891507,-1.25170772834109,2135,"Passer domesticus"
"42","A","U",21.0514931498582,0.423447038579783,-0.144515410331568,263,"Prunella modularis"
"42","J","U",18.6103286384977,3.20674012703673,-1.01125523869867,426,"Prunella modularis"
"43","A","U",17.148539608826,0.295090607427665,-0.0503987443240075,969,"Cyanistes caeruleus"
"43","J","U",17.0104021836007,0.381867847581169,-0.52428264543105,5984,"Cyanistes caeruleus"
"44","A","U",11.1861568531639,0.386464723191659,0.306858797818141,4094,"Hirundo rustica"
"45","A","U",29.9032258064516,3.78003015997902,-0.148199953895023,124,"Taeniopygia guttata"
"45","J","U",28.7223684210526,3.00198613086771,0.415508170087914,38,"Taeniopygia guttata"
"46a","A","U",16.8047368421053,0.179259649122807,0.872414545471417,19,"Aegithalos caudatus"
"46a","J","U",17.0046666666667,0.254326666666667,-0.797962480291288,15,"Aegithalos caudatus"
"46b","A","U",16.6257894736842,0.330376386913229,-0.123028910266019,38,"Cyanistes caeruleus"
"46b","J","U",16.616875,0.25523625,-0.0842393569399807,16,"Cyanistes caeruleus"
"46c","A","U",25.4675187969925,0.498884386437793,0.022673248873658,266,"Erithacus rubecula"
"46c","J","U",25.3967870722433,0.54138756219446,-0.290601334684959,526,"Erithacus rubecula"
"46d","A","U",20.4255555555556,0.340952777777778,-1.08492352137837,9,"Hippolais polyglotta"
"46d","J","U",18,14.56,-1.71066261816709,3,"Hippolais polyglotta"
"46e","A","U",19.7636363636364,0.37644329004329,0.696786026150114,22,"Parus major"
"46e","J","U",19.5564285714286,0.391142328042328,0.0813053296513593,28,"Parus major"
"46f","A","U",19.2976666666667,0.845466781609195,0.289215905837979,30,"Phylloscopus collybita"
"46f","J","U",18.7596,1.07198733333333,-1.22339345781109,25,"Phylloscopus collybita"
"46g","A","U",17.4171428571429,0.408668131868132,-0.440054740195453,14,"Regulus ignicapillus"
"46g","J","U",17.4307692307692,0.173774358974359,0.111820221647236,13,"Regulus ignicapillus"
"46h","A","U",20.3428571428571,1.32244928571429,-2.82389384910777,161,"Sylvia atricapilla"
"46h","J","U",20.5245597484277,0.733248859194889,-3.52160412903203,318,"Sylvia atricapilla"
"46i","A","U",20.3283333333333,0.28180294117647,-0.425970855145533,18,"Sylvia melanocephala"
"46i","J","U",20.2051724137931,2.64283944343618,-3.22442872620121,58,"Sylvia melanocephala"
"46j","A","U",16.9647619047619,0.62417619047619,-1.9927218058065,21,"Troglodytes troglodytes"
"46j","J","U",17.552,0.620239999999999,-0.515338054908015,10,"Troglodytes troglodytes"
"46k","A","U",33.1754166666667,2.43239112318841,-2.70018259264853,24,"Turdus merula"
"46k","J","U",32.5892307692308,3.13102435897436,-0.283176713230977,13,"Turdus merula"
